"Year","Activity","Source","Destination","Energy (MW.h)","Total Value (CAN$)","Price (CAN$/MW.h)"
"1994","Exports","Ontario","Massachusetts","14685.0000","349798.4300","23.82"
"1994","Exports","Ontario","Michigan","6910249.8520","189069912.5200","23.89"
"1994","Exports","Ontario","Minnesota","75565.0000","1906087.7000","23.87"
"1994","Exports","Ontario","New England-ISO","103667.0000","2481265.8600","6.31"
"1994","Exports","Ontario","New York","5221132.7910","149178328.5400","26.23"
"1994","Exports","Ontario","Pennsylvania","141341.0000","4261167.3000","30.15"
"1994","Exports","Ontario","Total","12663470.6430","351372161.8300","24.74"
"1994","Exports","Ontario","Vermont","196830.0000","4125601.4800","20.96"
"1994","Exports","Québec","Maine","1449.9500","105186.0900","72.54"
"1994","Exports","Québec","New England-ISO","6972110.0000","166320961.9200","23.86"
"1994","Exports","Québec","New York","7750299.0000","193146074.8200","23.36"
"1994","Exports","Québec","Total","16834389.9500","463710613.7700","24.05"
"1994","Exports","Québec","Vermont","2110531.0000","104138390.9400","27.15"
"1994","Exports","Saskatchewan","North Dakota","21406.0000","430992.1800","20.13"
"1994","Exports","Saskatchewan","Total","21406.0000","430992.1800","20.13"
"1994","Exports","Total","Alaska","1308.7200","89872.4400","68.67"
"1994","Exports","Total","Arizona","21.0000","865.0000","41.19"
"1994","Exports","Total","California","145895.0000","4129949.1800","28.31"
"1994","Exports","Total","Idaho","67315.0000","2284975.2700","33.94"
"1994","Exports","Total","Maine","2000053.4680","70268126.2200","34.62"
"1994","Exports","Total","Massachusetts","354039.0000","17691910.4300","49.97"
"1994","Exports","Total","Michigan","6910249.8520","189069912.5200","23.89"
"1994","Exports","Total","Minnesota","7855536.9320","261191388.7800","20.92"
"1994","Exports","Total","Nevada","6850.0000","233123.0000","34.03"
"1994","Exports","Total","New England-ISO","7075777.0000","168802227.7800","23.60"
"1994","Exports","Total","New York","12971431.7910","342324403.3600","24.52"
"1994","Exports","Total","North Dakota","1095448.0000","21797393.5100","18.59"
"1994","Exports","Total","Oregon","1066362.0000","43098835.6400","40.42"
"1994","Exports","Total","Pennsylvania","141341.0000","4261167.3000","30.15"
"1994","Exports","Total","Total","44821880.7900","1328623077.6700","25.27"
"1994","Exports","Total","Vermont","2307361.0000","108263992.4200","26.62"
"1994","Exports","Total","Washington","2822891.0270","95114934.8200","33.69"
"1994","Imports","Maine","New Brunswick","40429.0000","1324664.1900","32.77"
"1994","Imports","Maine","Total","40429.0000","1324664.1900","32.77"
"1994","Imports","Michigan","Ontario","1172.2000","9897.8500","8.44"
"1994","Imports","Michigan","Total","1172.2000","9897.8500","8.44"
"1994","Imports","Minnesota","Manitoba","112872.0000","1809928.4200","16.04"
"1994","Imports","Minnesota","Total","112872.0000","1809928.4200","16.04"
"1994","Imports","Montana","British Columbia","180.7000","13116.1700","72.59"
"1994","Imports","Montana","Total","180.7000","13116.1700","72.59"
"1994","Imports","New England-ISO","Québec","8174.0000","162891.6600","19.93"
"1994","Imports","New England-ISO","Total","8174.0000","162891.6600","19.93"
"1994","Imports","New York","Ontario","183619.0000","8207644.4900","44.70"
"1994","Imports","New York","Québec","6032.0000","166603.8400","27.62"
"1994","Imports","New York","Total","189651.0000","8374248.3300","44.16"
"1994","Imports","North Dakota","Manitoba","45225.0000","665411.8600","14.71"
"1994","Imports","North Dakota","Saskatchewan","78723.0000","1385954.5800","11.87"
"1994","Imports","North Dakota","Total","123948.0000","2051366.4400","12.91"
"1994","Imports","Total","Alberta","2768.0800","142815.7000","51.59"
"1994","Imports","Total","British Columbia","22950.7000","604371.4200","26.33"
"1994","Imports","Total","Manitoba","158097.0000","2475340.2800","15.66"
"1994","Imports","Total","New Brunswick","40429.0000","1324664.1900","32.77"
"1994","Imports","Total","Ontario","184791.2000","8217542.3400","44.47"
"1994","Imports","Total","Québec","453455.0000","29712931.2700","34.39"
"1994","Imports","Total","Saskatchewan","78723.0000","1385954.5800","11.87"
"1994","Imports","Total","Total","941213.9800","43863619.7800","31.12"
"1994","Imports","Vermont","Québec","439249.0000","29383435.7700","34.75"
"1994","Imports","Vermont","Total","439249.0000","29383435.7700","34.75"
"1994","Imports","Washington","Alberta","2768.0800","142815.7000","51.59"
"1994","Imports","Washington","British Columbia","22770.0000","591255.2500","25.97"
"1994","Imports","Washington","Total","25538.0800","734070.9500","28.74"
"1995","Exports","British Columbia","Alaska","1101.8200","58314.4200","52.93"
"1995","Exports","British Columbia","California","46268.0000","1220634.2400","26.38"
"1995","Exports","British Columbia","Idaho","2798.0000","52631.1300","18.81"
"1995","Exports","British Columbia","Missouri","450.0000","6075.0000","13.50"
"1995","Exports","British Columbia","Oregon","827764.0000","34309202.8900","41.45"
"1995","Exports","British Columbia","Total","1761849.5610","62575439.6900","35.50"
"1995","Exports","British Columbia","Washington","883467.7410","26928582.0100","30.45"
"1995","Exports","Manitoba","Minnesota","8460212.2230","265325400.6100","19.59"
"1995","Exports","Manitoba","North Dakota","678897.0000","14539086.6800","18.78"
"1995","Exports","Manitoba","Total","9139109.2230","279864487.2900","19.53"
"1995","Exports","New Brunswick","Maine","3344934.0510","115793771.3500","34.31"
"1995","Exports","New Brunswick","Total","3344934.0510","115793771.3500","34.31"
"1995","Exports","Ontario","Massachusetts","293522.0000","6110745.0600","20.82"
"1995","Exports","Ontario","Michigan","5800610.8520","153591730.6100","21.94"
"1995","Exports","Ontario","Minnesota","128721.0000","4037729.9400","27.49"
"1995","Exports","Ontario","New England-ISO","559285.0000","13004233.6700","2.25"
"1995","Exports","Ontario","New York","2326380.8540","57498723.1900","22.97"
"1995","Exports","Ontario","Pennsylvania","11867.0000","427200.8100","36.00"
"1995","Exports","Ontario","Total","9195141.7060","236596197.7700","21.09"
"1995","Exports","Ontario","Vermont","74755.0000","1925834.4900","25.47"
"1995","Exports","Québec","Maine","1013.7550","74815.3300","73.80"
"1995","Exports","Québec","Massachusetts","220684.0000","5256196.0700","23.53"
"1995","Exports","Québec","New England-ISO","7097666.0000","166124877.0300","21.35"
"1995","Exports","Québec","New York","6675568.0000","173258346.6600","24.21"
"1995","Exports","Québec","Pennsylvania","10758.0000","291180.9000","27.07"
"1995","Exports","Québec","Total","17048612.7550","488159166.6800","22.82"
"1995","Exports","Québec","Vermont","3042923.0000","143153750.6900","23.10"
